Country,2015,2022
Austria,10.6463357806206,12.4123372137547
Belgium,19.2359536886215,15.4658287763596
Chile,27.7767360210419,46.2275356054306
Colombia,43.1323558092117,49.4648575782776
Costa Rica,19.5990800857544,24.7450456023216
Denmark,22.300198674202,23.0037823319435
Estonia,15.7017707824707,11.0266245901585
Finland,20.6611111760139,24.0634068846703
France,10.4359641671181,11.2495303153992
Germany,12.9332214593887,9.22855213284492
Greece,39.5339041948318,25.2614080905914
Hungary,15.5020251870155,35.4811280965805
Ireland,11.6227343678474,9.29545313119888
Italy,19.502130150795,14.2579302191734
Latvia,7.62077867984772,7.36638233065605
Lithuania,17.9652631282806,15.7549947500229
Luxembourg,21.5796366333961,34.1246038675308
Netherlands,17.9122149944305,12.8296032547951
Poland,14.1544505953789,11.390071362257
Portugal,22.7245941758156,19.0067753195763
Slovakia,7.46506452560425,10.8351938426495
Slovenia,11.1780017614365,6.1287447810173
Spain,30.1263749599457,24.1070747375488
Sweden,22.9340299963951,21.8162819743156
